Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;44.903;+285;1.440;1.867;12.9.2020
Bayern;61.561;+403;2.415;2.645;12.9.2020
Berlin;12.216;+126;529;226;12.9.2020
Brandenburg;4.003;+19;66;169;12.9.2020
Bremen;2.117;+8;61;58;12.9.2020
Hamburg;6.770;+71;266;267;12.9.2020
Hessen;16.714;+111;663;538;12.9.2020
Mecklenburg-Vorpommern;1.055;+9;30;20;12.9.2020
Niedersachsen;17.783;+138;524;667;12.9.2020
Nordrhein-Westfalen;61.820;+315;1.619;1.828;12.9.2020
Rheinland-Pfalz;9.649;+26;323;246;12.9.2020
Saarland;3.225;+3;32;175;12.9.2020
Sachsen;6.351;+69;202;226;12.9.2020
Sachsen-Anhalt;2.330;+16;49;66;12.9.2020
Schleswig-Holstein;4.218;+11;99;161;12.9.2020
Thüringen;3.765;+20;79;188;12.9.2020
Gesamt;258.480;+1.630;8.397;9.347;12.9.2020
