Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;296.749;1.354;7.461;7.275;4.2.2021
Bayern;408.021;2.355;10.906;10.895;4.2.2021
Berlin;121.399;649;2.641;2.376;4.2.2021
Brandenburg;69.805;574;2.678;2.507;4.2.2021
Bremen;16.226;71;587;283;4.2.2021
Hamburg;46.966;412;1.201;1.097;4.2.2021
Hessen;174.489;1.177;5.427;5.050;4.2.2021
Mecklenburg-Vorpommern;20.591;307;1.381;506;4.2.2021
Niedersachsen;144.638;1.186;4.923;3.412;4.2.2021
Nordrhein-Westfalen;492.669;2.433;13.850;11.259;4.2.2021
Rheinland-Pfalz;94.302;545;2.880;2.648;4.2.2021
Saarland;26.296;311;1.231;760;4.2.2021
Sachsen;182.333;995;4.077;6.560;4.2.2021
Sachsen-Anhalt;53.358;599;2.697;1.860;4.2.2021
Schleswig-Holstein;37.044;484;2.014;967;4.2.2021
Thüringen;67.115;759;3.165;2.287;4.2.2021
Gesamt;2.252.001;14.211;67.119;59.742;4.2.2021
