Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;315.572;947;5.472;8.059;27.2.2021
Bayern;435.224;1.420;7.921;12.363;27.2.2021
Berlin;128.936;702;2.267;2.813;27.2.2021
Brandenburg;76.224;242;1.591;2.992;27.2.2021
Bremen;17.894;104;538;337;27.2.2021
Hamburg;51.450;188;1.284;1.263;27.2.2021
Hessen;187.791;780;4.017;5.815;27.2.2021
Mecklenburg-Vorpommern;24.313;183;984;736;27.2.2021
Niedersachsen;163.594;926;5.200;4.287;27.2.2021
Nordrhein-Westfalen;530.703;2.013;11.630;13.028;27.2.2021
Rheinland-Pfalz;101.823;388;2.207;3.089;27.2.2021
Saarland;28.797;131;677;866;27.2.2021
Sachsen;193.707;602;3.177;7.707;27.2.2021
Sachsen-Anhalt;60.236;373;1.947;2.406;27.2.2021
Schleswig-Holstein;42.235;246;1.459;1.280;27.2.2021
Thüringen;75.947;517;2.677;2.847;27.2.2021
Gesamt;2.434.446;9.762;53.048;69.888;27.2.2021
