Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.272;0*;317;1.847;2.8.2020
Bayern;51.080;+12;594;2.622;2.8.2020
Berlin;9.319;+45;317;223;2.8.2020
Brandenburg;3.565;0;26;168;2.8.2020
Bremen;1.782;+1;35;56;2.8.2020
Hamburg;5.405;0;75;261;2.8.2020
Hessen;12.117;+88;414;520;2.8.2020
Mecklenburg-Vorpommern;875;+7;31;20;2.8.2020
Niedersachsen;14.515;+16;245;653;2.8.2020
Nordrhein-Westfalen;49.145;+43;1.715;1.731;2.8.2020
Rheinland-Pfalz;7.535;+2;101;239;2.8.2020
Saarland;2.879;+5;26;174;2.8.2020
Sachsen;5.541;0*;24;225;2.8.2020
Sachsen-Anhalt;2.030;+8;42;64;2.8.2020
Schleswig-Holstein;3.463;+12;142;156;2.8.2020
Thüringen;3.370;+1;23;182;2.8.2020
Gesamt;209.893;+240;4.127;9.141;2.8.2020
