Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;53.344;+530;2.621;1.899;10.10.2020
Bayern;72.402;+643;3.034;2.684;10.10.2020
Berlin;17.555;+443;1.967;234;10.10.2020
Brandenburg;4.692;+89;266;169;10.10.2020
Bremen;2.880;0;326;60;10.10.2020
Hamburg;8.814;+145;540;277;10.10.2020
Hessen;21.586;+494;1.883;559;10.10.2020
Mecklenburg-Vorpommern;1.373;+29;116;20;10.10.2020
Niedersachsen;22.490;+348;1.451;697;10.10.2020
Nordrhein-Westfalen;78.218;+1.422;5.820;1.905;10.10.2020
Rheinland-Pfalz;11.808;+206;755;256;10.10.2020
Saarland;3.586;+35;175;177;10.10.2020
Sachsen;8.203;+216;676;246;10.10.2020
Sachsen-Anhalt;2.858;+26;123;68;10.10.2020
Schleswig-Holstein;5.209;+54;302;162;10.10.2020
Thüringen;4.363;+41;193;191;10.10.2020
Gesamt;319.381;+4.721;20.248;9.604;10.10.2020
