Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.272;0*;299;1.847;3.8.2020
Bayern;51.156;+76;586;2.622;3.8.2020
Berlin;9.328;+9;323;223;3.8.2020
Brandenburg;3.573;+8;26;168;3.8.2020
Bremen;1.782;0;35;56;3.8.2020
Hamburg;5.436;31;102;261;3.8.2020
Hessen;12.142;+25;434;520;3.8.2020
Mecklenburg-Vorpommern;877;+2;33;20;3.8.2020
Niedersachsen;14.567;+52;277;653;3.8.2020
Nordrhein-Westfalen;49.435;+290;1.803;1.738;3.8.2020
Rheinland-Pfalz;7.543;+8;108;239;3.8.2020
Saarland;2.881;+2;28;174;3.8.2020
Sachsen;5.541;0*;23;225;3.8.2020
Sachsen-Anhalt;2.031;+1;39;64;3.8.2020
Schleswig-Holstein;3.467;+4;139;156;3.8.2020
Thüringen;3.371;+1;23;182;3.8.2020
Gesamt;210.402;+509;4.278;9.148;3.8.2020
