Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;267.714;2.979;14.803;5.874;14.1.2021
Bayern;366.609;5.027;20.944;8.399;14.1.2021
Berlin;109.569;1.274;6.620;1.711;14.1.2021
Brandenburg;53.533;1.248;5.353;1.469;14.1.2021
Bremen;14.629;160;572;227;14.1.2021
Hamburg;41.746;396;2.123;865;14.1.2021
Hessen;154.500;1.656;8.859;3.780;14.1.2021
Mecklenburg-Vorpommern;15.684;368;1.876;268;14.1.2021
Niedersachsen;124.027;1.596;7.975;2.493;14.1.2021
Nordrhein-Westfalen;439.609;4.145;23.542;8.585;14.1.2021
Rheinland-Pfalz;82.472;735;5.000;1.919;14.1.2021
Saarland;22.542;263;1.580;588;14.1.2021
Sachsen;161.352;2.728;11.907;4.583;14.1.2021
Sachsen-Anhalt;40.234;1.001;5.289;1.006;14.1.2021
Schleswig-Holstein;29.734;484;2.683;609;14.1.2021
Thüringen;54.636;1.104;6.621;1.505;14.1.2021
Gesamt;1.978.590;25.164;125.747;43.881;14.1.2021
