Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;301.091;398;6.615;7.509;9.2.2021
Bayern;414.332;469;9.801;11.226;9.2.2021
Berlin;122.890;284;2.274;2.486;9.2.2021
Brandenburg;71.303;268;2.204;2.668;9.2.2021
Bremen;16.569;26;542;293;9.2.2021
Hamburg;47.884;186;1.148;1.148;9.2.2021
Hessen;177.331;204;4.840;5.229;9.2.2021
Mecklenburg-Vorpommern;21.351;63;1.322;579;9.2.2021
Niedersachsen;148.877;297;5.384;3.635;9.2.2021
Nordrhein-Westfalen;500.500;232*;12.057;11.595;9.2.2021
Rheinland-Pfalz;96.076;349;2.581;2.764;9.2.2021
Saarland;26.952;32;1.081;787;9.2.2021
Sachsen;184.880;89;3.716;6.816;9.2.2021
Sachsen-Anhalt;54.897;115;2.328;1.990;9.2.2021
Schleswig-Holstein;38.136;151;1.807;1.038;9.2.2021
Thüringen;68.855;216;2.877;2.393;9.2.2021
Gesamt;2.291.924;3.379;60.577;62.156;9.2.2021
