Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.514;+59;402;1.847;5.8.2020
Bayern;51.377;+98;631;2.624;5.8.2020
Berlin;9.399;+32;289;223;5.8.2020
Brandenburg;3.588;+9;28;168;5.8.2020
Bremen;1.790;+3;32;56;5.8.2020
Hamburg;5.461;+17;105;261;5.8.2020
Hessen;12.254;+55;425;523;5.8.2020
Mecklenburg-Vorpommern;889;+9;37;20;5.8.2020
Niedersachsen;14.671;+37;296;654;5.8.2020
Nordrhein-Westfalen;50.068;+341;1.990;1.751;5.8.2020
Rheinland-Pfalz;7.618;+35;141;239;5.8.2020
Saarland;2.891;+5;29;174;5.8.2020
Sachsen;5.560;+12;30;225;5.8.2020
Sachsen-Anhalt;2.036;+2;33;64;5.8.2020
Schleswig-Holstein;3.516;+22;139;157;5.8.2020
Thüringen;3.390;+5;32;182;5.8.2020
Gesamt;212.022;+741;4.639;9.168;5.8.2020
