Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;99.046;+2.444;14.999;2.111;8.11.2020
Bayern;130.635;+3.021;21.440;2.913;8.11.2020
Berlin;39.383;+697;6.915;294;8.11.2020
Brandenburg;10.296;+210;1.637;215;8.11.2020
Bremen;7.067;+195;1.533;86;8.11.2020
Hamburg;16.854;+591;2.285;304;8.11.2020
Hessen;53.161;+1.723;10.362;753;8.11.2020
Mecklenburg-Vorpommern;3.693;+113;796;29;8.11.2020
Niedersachsen;45.002;+993;6.858;817;8.11.2020
Nordrhein-Westfalen;168.205;+3.286;29.615;2.341;8.11.2020
Rheinland-Pfalz;25.721;+379;4.729;316;8.11.2020
Saarland;8.327;+197;1.398;199;8.11.2020
Sachsen;25.878;+1.623;5.903;402;8.11.2020
Sachsen-Anhalt;6.583;+101;1.224;90;8.11.2020
Schleswig-Holstein;9.823;+233;1.500;200;8.11.2020
Thüringen;8.831;+211;1.592;219;8.11.2020
Gesamt;658.505;+16.017;112.786;11.289;8.11.2020
