Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;179.160;4.212;18.747;3.293;11.12.2020
Bayern;248.679;4.882;24.699;4.723;11.12.2020
Berlin;76.204;1.652;6.708;768;11.12.2020
Brandenburg;24.910;1.018;2.840;464;11.12.2020
Bremen;11.366;182;881;150;11.12.2020
Hamburg;28.202;506;1.942;458;11.12.2020
Hessen;102.817;1.917;9.538;1.659;11.12.2020
Mecklenburg-Vorpommern;7.597;246;1.139;94;11.12.2020
Niedersachsen;82.321;1.427;6.346;1.380;11.12.2020
Nordrhein-Westfalen;305.464;7.033;27.507;4.346;11.12.2020
Rheinland-Pfalz;53.467;1.318;5.870;805;11.12.2020
Saarland;15.178;535;1.669;294;11.12.2020
Sachsen;78.704;2.809;12.751;1.505;11.12.2020
Sachsen-Anhalt;17.087;648;2.968;251;11.12.2020
Schleswig-Holstein;17.104;529;1.972;283;11.12.2020
Thüringen;23.818;961;4.164;497;11.12.2020
Gesamt;1.272.078;29.875;129.741;20.970;11.12.2020
