Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;257.403;2.751;13.830;5.464;9.1.2021
Bayern;351.615;3.472;19.416;7.786;9.1.2021
Berlin;105.118;1.479;6.730;1.547;9.1.2021
Brandenburg;49.531;1.180;6.158;1.281;9.1.2021
Bremen;14.257;80;558;219;9.1.2021
Hamburg;40.123;536;2.496;792;9.1.2021
Hessen;148.863;1.851;9.294;3.461;9.1.2021
Mecklenburg-Vorpommern;14.429;398;1.998;235;9.1.2021
Niedersachsen;118.305;1.873;8.114;2.313;9.1.2021
Nordrhein-Westfalen;424.492;4.302;25.564;7.866;9.1.2021
Rheinland-Pfalz;79.252;1.165;5.455;1.740;9.1.2021
Saarland;21.642;321;1.521;529;9.1.2021
Sachsen;152.459;2.752;13.809;3.981;9.1.2021
Sachsen-Anhalt;35.734;763;4.064;832;9.1.2021
Schleswig-Holstein;28.056;514;2.796;534;9.1.2021
Thüringen;50.302;1.257;6.172;1.298;9.1.2021
Gesamt;1.891.581;24.694;127.975;39.878;9.1.2021
