Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;51.191;+257;1.818;1.894;6.10.2020
Bayern;70.006;+375;2.096;2.674;6.10.2020
Berlin;15.949;+301;1.518;231;6.10.2020
Brandenburg;4.447;+26;185;169;6.10.2020
Bremen;2.632;+13;249;59;6.10.2020
Hamburg;8.339;+98;485;273;6.10.2020
Hessen;20.113;+135;1.288;556;6.10.2020
Mecklenburg-Vorpommern;1.293;+73;123;20;6.10.2020
Niedersachsen;21.284;+209;1.113;691;6.10.2020
Nordrhein-Westfalen;73.842;+847;4.388;1.886;6.10.2020
Rheinland-Pfalz;11.215;+129;551;256;6.10.2020
Saarland;3.449;+69;148;177;6.10.2020
Sachsen;7.533;+31;301;239;6.10.2020
Sachsen-Anhalt;2.764;+18;145;68;6.10.2020
Schleswig-Holstein;4.978;+40;239;162;6.10.2020
Thüringen;4.223;+18;156;191;6.10.2020
Gesamt;303.258;+2.639;14.803;9.546;6.10.2020
