Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;217.464;2.998;22.435;4.267;23.12.2020
Bayern;296.497;3.762;27.228;5.966;23.12.2020
Berlin;89.519;1.490;7.577;1.066;23.12.2020
Brandenburg;34.117;656;4.808;714;23.12.2020
Bremen;12.765;123;909;175;23.12.2020
Hamburg;33.308;582;2.755;561;23.12.2020
Hessen;125.049;2.411;13.060;2.296;23.12.2020
Mecklenburg-Vorpommern;10.210;311;1.549;127;23.12.2020
Niedersachsen;96.959;727;8.532;1.702;23.12.2020
Nordrhein-Westfalen;362.430;5.132;34.184;5.608;23.12.2020
Rheinland-Pfalz;65.473;833;6.729;1.137;23.12.2020
Saarland;18.184;207;1.610;377;23.12.2020
Sachsen;111.922;2.728;16.861;2.409;23.12.2020
Sachsen-Anhalt;24.249;685;4.185;458;23.12.2020
Schleswig-Holstein;21.855;795;3.016;348;23.12.2020
Thüringen;34.919;1.300;6.818;757;23.12.2020
Gesamt;1.554.920;24.740;162.256;27.968;23.12.2020
