Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;75.164;+2.280;10.648;2.000;29.10.2020
Bayern;98.998;+2.578;14.143;2.789;29.10.2020
Berlin;29.225;+1.161;5.130;253;29.10.2020
Brandenburg;7.208;+251;1.082;188;29.10.2020
Bremen;4.891;+202;1.037;69;29.10.2020
Hamburg;12.557;+404;1.708;283;29.10.2020
Hessen;37.385;+1.697;8.615;637;29.10.2020
Mecklenburg-Vorpommern;2.484;+156;578;22;29.10.2020
Niedersachsen;32.980;+736;4.832;737;29.10.2020
Nordrhein-Westfalen;122.051;+4.773;23.605;2.083;29.10.2020
Rheinland-Pfalz;18.420;+631;3.386;279;29.10.2020
Saarland;5.806;+230;999;183;29.10.2020
Sachsen;15.380;+971;3.183;300;29.10.2020
Sachsen-Anhalt;4.582;+240;948;76;29.10.2020
Schleswig-Holstein;7.499;+281;1.335;170;29.10.2020
Thüringen;6.383;+183;1.093;203;29.10.2020
Gesamt;481.013;+16.774;82.322;10.272;29.10.2020
