Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.912;+14;133;1.791;7.6.2020
Bayern;47.334;+8;297;2.501;7.6.2020
Berlin;6.997;+33;184;205;7.6.2020
Brandenburg;3.297;+3;16;158;7.6.2020
Bremen;1.517;+4;89;44;7.6.2020
Hamburg;5.113;+2;26;254;7.6.2020
Hessen;10.203;+32;138;484;7.6.2020
Mecklenburg-Vorpommern;773;+7;12;20;7.6.2020
Niedersachsen;12.466;+67;416;605;7.6.2020
Nordrhein-Westfalen;38.616;+92;594;1.623;7.6.2020
Rheinland-Pfalz;6.775;+14;71;230;7.6.2020
Saarland;2.747;+7;22;166;7.6.2020
Sachsen;5.323;+2;19;214;7.6.2020
Sachsen-Anhalt;1.720;+3;12;56;7.6.2020
Schleswig-Holstein;3.109;+2;13;147;7.6.2020
Thüringen;3.077;+11;63;170;7.6.2020
Gesamt;183.979;+301;2.105;8.668;7.6.2020
