Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;42.367;+248;1.477;1.867;2.9.2020
Bayern;57.781;+296;1.816;2.641;2.9.2020
Berlin;11.347;+81;450;226;2.9.2020
Brandenburg;3.875;+4;36;169;2.9.2020
Bremen;2.015;+13;92;57;2.9.2020
Hamburg;6.313;+51;163;267;2.9.2020
Hessen;15.692;+96;653;534;2.9.2020
Mecklenburg-Vorpommern;1.009;+1;10;20;2.9.2020
Niedersachsen;16.888;+93;463;662;2.9.2020
Nordrhein-Westfalen;59.263;+240;1.613;1.817;2.9.2020
Rheinland-Pfalz;9.168;+63;371;243;2.9.2020
Saarland;3.157;+6;64;174;2.9.2020
Sachsen;6.022;+32;147;225;2.9.2020
Sachsen-Anhalt;2.250;+6;40;65;2.9.2020
Schleswig-Holstein;4.064;+19;102;160;2.9.2020
Thüringen;3.644;+7;67;186;2.9.2020
Gesamt;244.855;+1.256;7.564;9.313;2.9.2020
