Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;49.208;+308;1.636;1.880;29.9.2020
Bayern;67.763;+407;2.148;2.664;29.9.2020
Berlin;14.327;+131;991;228;29.9.2020
Brandenburg;4.251;+34;125;169;29.9.2020
Bremen;2.385;+13;162;59;29.9.2020
Hamburg;7.750;+60;420;269;29.9.2020
Hessen;18.788;+144;1.012;551;29.9.2020
Mecklenburg-Vorpommern;1.168;+17;47;20;29.9.2020
Niedersachsen;20.026;+254;883;682;29.9.2020
Nordrhein-Westfalen;69.284;+564;3.384;1.867;29.9.2020
Rheinland-Pfalz;10.630;+76;424;253;29.9.2020
Saarland;3.297;+2;52;177;29.9.2020
Sachsen;7.151;+29;330;233;29.9.2020
Sachsen-Anhalt;2.613;+10;146;68;29.9.2020
Schleswig-Holstein;4.724;+38;251;161;29.9.2020
Thüringen;4.056;+2;83;190;29.9.2020
Gesamt;287.421;+2.089;12.094;9.471;29.9.2020
