Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;46.041;+286;1.462;1.868;17.9.2020
Bayern;63.632;+823;2.567;2.647;17.9.2020
Berlin;12.593;+130;555;227;17.9.2020
Brandenburg;4.051;+18;76;169;17.9.2020
Bremen;2.174;+15;77;59;17.9.2020
Hamburg;6.964;+47;245;268;17.9.2020
Hessen;17.233;+149;721;542;17.9.2020
Mecklenburg-Vorpommern;1.081;+7;37;20;17.9.2020
Niedersachsen;18.256;+96;606;667;17.9.2020
Nordrhein-Westfalen;63.565;+410;2.260;1.839;17.9.2020
Rheinland-Pfalz;9.929;+70;352;247;17.9.2020
Saarland;3.262;+22;57;176;17.9.2020
Sachsen;6.522;+55;247;226;17.9.2020
Sachsen-Anhalt;2.378;+12;65;66;17.9.2020
Schleswig-Holstein;4.311;+23;115;161;17.9.2020
Thüringen;3.865;+31;136;189;17.9.2020
Gesamt;265.857;+2.194;9.578;9.371;17.9.2020
