Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.530;0*;167;1.829;29.6.2020
Bayern;48.344;+50;318;2.592;29.6.2020
Berlin;8.176;+8;305;213;29.6.2020
Brandenburg;3.419;+2;31;165;29.6.2020
Bremen;1.661;0*;14;50;29.6.2020
Hamburg;5.194;+16;36;259;29.6.2020
Hessen;10.762;+1;163;506;29.6.2020
Mecklenburg-Vorpommern;801;0;8;20;29.6.2020
Niedersachsen;13.502;+24;204;628;29.6.2020
Nordrhein-Westfalen;42.869;+146;1.516;1.678;29.6.2020
Rheinland-Pfalz;6.987;+13;68;235;29.6.2020
Saarland;2.806;+1;7;173;29.6.2020
Sachsen;5.444;0*;18;222;29.6.2020
Sachsen-Anhalt;1.869;+1;19;58;29.6.2020
Schleswig-Holstein;3.147;0;11;152;29.6.2020
Thüringen;3.250;0*;19;181;29.6.2020
Gesamt;193.761;+262;2.904;8.961;29.6.2020
