Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.041;0*;173;1.837;13.7.2020
Bayern;49.273;+69;458;2.612;13.7.2020
Berlin;8.638;+1;183;217;13.7.2020
Brandenburg;3.462;0*;17;168;13.7.2020
Bremen;1.690;+1;11;55;13.7.2020
Hamburg;5.231;+1;14;261;13.7.2020
Hessen;11.169;+7;209;514;13.7.2020
Mecklenburg-Vorpommern;804;0;0;20;13.7.2020
Niedersachsen;13.806;+2;81;642;13.7.2020
Nordrhein-Westfalen;44.974;+59;863;1.705;13.7.2020
Rheinland-Pfalz;7.174;+17;85;236;13.7.2020
Saarland;2.812;0*;6;174;13.7.2020
Sachsen;5.473;0*;14;225;13.7.2020
Sachsen-Anhalt;1.917;0;23;62;13.7.2020
Schleswig-Holstein;3.207;+1;17;154;13.7.2020
Thüringen;3.292;+1;20;182;13.7.2020
Gesamt;198.963;+159;2.174;9.064;13.7.2020
