Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.218;41;132;1.816;18.6.2020
Bayern;47.747;37;201;2.556;18.6.2020
Berlin;7.475;73;292;210;18.6.2020
Brandenburg;3.365;3;40;163;18.6.2020
Bremen;1.619;12;54;49;18.6.2020
Hamburg;5.154;5;22;259;18.6.2020
Hessen;10.440;54;137;498;18.6.2020
Mecklenburg-Vorpommern;787;1;9;20;18.6.2020
Niedersachsen;13.063;95;293;618;18.6.2020
Nordrhein-Westfalen;39.777;204;752;1.658;18.6.2020
Rheinland-Pfalz;6.874;18;44;234;18.6.2020
Saarland;2.773;0;7;168;18.6.2020
Sachsen;5.359;9;17;221;18.6.2020
Sachsen-Anhalt;1.802;27;71;57;18.6.2020
Schleswig-Holstein;3.122;0;7;152;18.6.2020
Thüringen;3.189;1;59;177;18.6.2020
Gesamt;187.764;580;2.137;8.856;18.6.2020
