Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;45.254;+184;1.423;1.867;14.9.2020
Bayern;61.974;+269;2.328;2.645;14.9.2020
Berlin;12.269;+15;532;226;14.9.2020
Brandenburg;4.006;+1;65;169;14.9.2020
Bremen;2.135;+5;65;58;14.9.2020
Hamburg;6.825;+11;254;268;14.9.2020
Hessen;16.877;+69;696;539;14.9.2020
Mecklenburg-Vorpommern;1.055;0;24;20;14.9.2020
Niedersachsen;17.911;+67;557;667;14.9.2020
Nordrhein-Westfalen;62.261;+182;1.738;1.829;14.9.2020
Rheinland-Pfalz;9.764;+47;363;246;14.9.2020
Saarland;3.245;+2;44;175;14.9.2020
Sachsen;6.403;+38;241;226;14.9.2020
Sachsen-Anhalt;2.355;+18;67;66;14.9.2020
Schleswig-Holstein;4.231;+9;100;161;14.9.2020
Thüringen;3.790;+10;93;188;14.9.2020
Gesamt;260.355;+927;8.590;9.350;14.9.2020
