Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;129.905;+2.802;14.914;2.436;21.11.2020
Bayern;177.522;+4.283;22.284;3.387;21.11.2020
Berlin;55.018;+1.703;7.631;441;21.11.2020
Brandenburg;15.032;+685;2.176;276;21.11.2020
Bremen;9.052;+185;1.043;105;21.11.2020
Hamburg;22.098;+363;1.787;334;21.11.2020
Hessen;74.368;+1.843;10.683;1.010;21.11.2020
Mecklenburg-Vorpommern;5.064;+132;742;53;21.11.2020
Niedersachsen;61.621;+1.653;6.986;985;21.11.2020
Nordrhein-Westfalen;227.783;+5.248;29.975;2.943;21.11.2020
Rheinland-Pfalz;37.132;+1.041;5.277;411;21.11.2020
Saarland;11.247;+241;1.234;234;21.11.2020
Sachsen;41.336;+1.535;7.057;626;21.11.2020
Sachsen-Anhalt;9.580;+314;1.549;121;21.11.2020
Schleswig-Holstein;12.638;+250;1.365;233;21.11.2020
Thüringen;13.132;+686;2.425;289;21.11.2020
Gesamt;902.528;+23.964;117.128;13.884;21.11.2020
