Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;77.477;+2.313;11.000;2.010;30.10.2020
Bayern;102.074;+3.076;14.972;2.797;30.10.2020
Berlin;30.356;+1.131;5.361;253;30.10.2020
Brandenburg;7.468;+260;1.091;190;30.10.2020
Bremen;5.100;+209;1.092;70;30.10.2020
Hamburg;12.947;+390;1.725;283;30.10.2020
Hessen;39.093;+1708;9.165;641;30.10.2020
Mecklenburg-Vorpommern;2616;+132;609;23;30.10.2020
Niedersachsen;34.228;+1.248;5.150;743;30.10.2020
Nordrhein-Westfalen;127.447;+5.396;25.119;2.102;30.10.2020
Rheinland-Pfalz;19.108;+688;3.520;281;30.10.2020
Saarland;6.142;+336;1.150;186;30.10.2020
Sachsen;16.493;+1.113;3.662;315;30.10.2020
Sachsen-Anhalt;4.804;+222;1.089;77;30.10.2020
Schleswig-Holstein;7.716;+217;1.340;174;30.10.2020
Thüringen;6.625;+242;1.170;204;30.10.2020
Gesamt;499.694;+18.681;87.215;10.349;30.10.2020
