Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;293.116;1.298;8.235;7.039;31.1.2021
Bayern;402.173;1.669;11.847;10.379;31.1.2021
Berlin;119.844;330;3.088;2.268;31.1.2021
Brandenburg;68.174;338;3.159;2.282;31.1.2021
Bremen;15.971;86;566;268;31.1.2021
Hamburg;46.264;249;1.512;1.071;31.1.2021
Hessen;171.823;940;5.811;4.812;31.1.2021
Mecklenburg-Vorpommern;19.848;166;1.504;448;31.1.2021
Niedersachsen;142.097;1.012;5.750;3.278;31.1.2021
Nordrhein-Westfalen;485.893;2.437;15.300;10.784;31.1.2021
Rheinland-Pfalz;92.638;927;3.209;2.515;31.1.2021
Saarland;25.712;262;1.203;736;31.1.2021
Sachsen;179.740;587;4.889;6.288;31.1.2021
Sachsen-Anhalt;51.620;99;3.149;1.712;31.1.2021
Schleswig-Holstein;36.021;304;2.304;877;31.1.2021
Thüringen;65.429;488;3.504;2.188;31.1.2021
Gesamt;2.216.363;11.192;75.030;56.945;31.1.2021
