Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.365;+93;170;1.826;23.6.2020
Bayern;47.894;+27;246;2.571;23.6.2020
Berlin;7.916;+83;522;211;23.6.2020
Brandenburg;3.407;+13;54;164;23.6.2020
Bremen;1.654;+6;61;49;23.6.2020
Hamburg;5.170;0;24;259;23.6.2020
Hessen;10.613;+35;242;501;23.6.2020
Mecklenburg-Vorpommern;792;0;7;20;23.6.2020
Niedersachsen;13.312;+29;337;619;23.6.2020
Nordrhein-Westfalen;41.418;+200;1969;1.665;23.6.2020
Rheinland-Pfalz;6.919;+2;64;234;23.6.2020
Saarland;2.778;0;9;168;23.6.2020
Sachsen;5.408;0;59;221;23.6.2020
Sachsen-Anhalt;1.851;+7;75;57;23.6.2020
Schleswig-Holstein;3.136;0;15;152;23.6.2020
Thüringen;3.229;+8;45;178;23.6.2020
Gesamt;190.862;+503;3.899;8.895;23.6.2020
