Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;306.184;369;5.365;7.752;15.2.2021
Bayern;421.239;767;7.489;11.692;15.2.2021
Berlin;124.782;71;2.144;2.608;15.2.2021
Brandenburg;73.241;154;1.850;2.795;15.2.2021
Bremen;16.973;64;420;312;15.2.2021
Hamburg;48.983;118;1.135;1.196;15.2.2021
Hessen;180.703;259;3.527;5.460;15.2.2021
Mecklenburg-Vorpommern;22.340;64;1.054;634;15.2.2021
Niedersachsen;153.651;464;4.869;3.845;15.2.2021
Nordrhein-Westfalen;510.522;1.028;10.151;12.118;15.2.2021
Rheinland-Pfalz;97.872;232;1.966;2.879;15.2.2021
Saarland;27.608;15;685;817;15.2.2021
Sachsen;187.602;285;2.775;7.135;15.2.2021
Sachsen-Anhalt;56.676;219;1.743;2.114;15.2.2021
Schleswig-Holstein;39.661;122;1.676;1.131;15.2.2021
Thüringen;70.950;195;2.169;2.588;15.2.2021
Gesamt;2.338.987;4.426;49.018;65.076;15.2.2021
