Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;270.036;2.322;14.555;5.978;15.1.2021
Bayern;369.672;3.063;20.469;8.513;15.1.2021
Berlin;110.740;1.171;6.103;1.755;15.1.2021
Brandenburg;55.402;1.869;5.553;1.527;15.1.2021
Bremen;14.699;70;536;227;15.1.2021
Hamburg;42.070;324;1.929;882;15.1.2021
Hessen;156.127;1.627;8.584;3.843;15.1.2021
Mecklenburg-Vorpommern;15.989;305;1.899;282;15.1.2021
Niedersachsen;125.183;1.156;7.431;2.531;15.1.2021
Nordrhein-Westfalen;444.159;4.550;22.968;8.838;15.1.2021
Rheinland-Pfalz;83.476;1.004;4.858;1.977;15.1.2021
Saarland;22.742;200;1.379;599;15.1.2021
Sachsen;163.469;2.117;11.158;4.794;15.1.2021
Sachsen-Anhalt;41.394;1.160;5.336;1.068;15.1.2021
Schleswig-Holstein;30.159;425;2.627;624;15.1.2021
Thüringen;55.641;1.005;6.136;1.556;15.1.2021
Gesamt;2.000.958;22.368;121.521;44.994;15.1.2021
