Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;60.053;+700;5.138;1.932;19.10.2020
Bayern;79.735;+795;6.220;2.714;19.10.2020
Berlin;21.429;+302;3.226;241;19.10.2020
Brandenburg;5.451;+37;579;172;19.10.2020
Bremen;3.590;+26;513;63;19.10.2020
Hamburg;9.910;+160;792;280;19.10.2020
Hessen;25.776;+336;3.671;576;19.10.2020
Mecklenburg-Vorpommern;1.705;+25;268;21;19.10.2020
Niedersachsen;25.852;+271;2.531;713;19.10.2020
Nordrhein-Westfalen;90.544;+863;9.942;1.946;19.10.2020
Rheinland-Pfalz;13.652;+248;1.449;263;19.10.2020
Saarland;4.415;+59;667;177;19.10.2020
Sachsen;10.275;+340;1.544;258;19.10.2020
Sachsen-Anhalt;3.285;+43;318;71;19.10.2020
Schleswig-Holstein;5.714;+88;450;163;19.10.2020
Thüringen;4.913;+32;456;199;19.10.2020
Gesamt;366.299;+4.325;37.764;9.789;19.10.2020
