Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;304.257;924;5.927;7.675;12.2.2021
Bayern;418.456;1.670;8.197;11.547;12.2.2021
Berlin;124.134;485;2.119;2.574;12.2.2021
Brandenburg;72.569;374;1.932;2.760;12.2.2021
Bremen;16.797;80;444;306;12.2.2021
Hamburg;48.458;193;1.066;1.178;12.2.2021
Hessen;179.467;687;3.945;5.398;12.2.2021
Mecklenburg-Vorpommern;21.928;167;1.072;614;12.2.2021
Niedersachsen;151.569;1.139;4.814;3.773;12.2.2021
Nordrhein-Westfalen;506.531;1.881;10.640;11.963;12.2.2021
Rheinland-Pfalz;97.141;380;2.152;2.846;12.2.2021
Saarland;27.281;99;718;805;12.2.2021
Sachsen;186.520;520;2.892;7.044;12.2.2021
Sachsen-Anhalt;55.787;338;1.733;2.068;12.2.2021
Schleswig-Holstein;39.144;366;1.786;1.101;12.2.2021
Thüringen;70.054;557;2.259;2.539;12.2.2021
Gesamt;2.320.093;9.860;51.696;64.191;12.2.2021
