Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;285.141;734;9.992;6.633;25.1.2021
Bayern;391.103;1.105;14.046;9.671;25.1.2021
Berlin;116.742;160;4.029;2.040;25.1.2021
Brandenburg;63.644;576;4.315;1.939;25.1.2021
Bremen;15.435;33;507;253;25.1.2021
Hamburg;44.718;265;1.660;988;25.1.2021
Hessen;166.219;346;7.023;4.412;25.1.2021
Mecklenburg-Vorpommern;18.462;113;1.713;369;25.1.2021
Niedersachsen;136.202;437;6.756;2.976;25.1.2021
Nordrhein-Westfalen;471.079;997;18.679;9.972;25.1.2021
Rheinland-Pfalz;89.446;469;4.087;2.287;25.1.2021
Saarland;24.288;39;1.111;689;25.1.2021
Sachsen;174.818;632;6.979;5.730;25.1.2021
Sachsen-Anhalt;48.405;480;4.484;1.437;25.1.2021
Schleswig-Holstein;33.861;139;2.733;755;25.1.2021
Thüringen;62.102;204;4.343;1.936;25.1.2021
Gesamt;2.141.665;6.729;92.457;52.087;25.1.2021
