Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;45.070;+167;1.341;1.867;13.9.2020
Bayern;61.705;+144;2.255;2.645;13.9.2020
Berlin;12.254;+38;520;226;13.9.2020
Brandenburg;4.005;+2;64;169;13.9.2020
Bremen;2.130;+13;63;58;13.9.2020
Hamburg;6.814;+44;275;268;13.9.2020
Hessen;16.808;+94;682;539;13.9.2020
Mecklenburg-Vorpommern;1.055;0;25;20;13.9.2020
Niedersachsen;17.844;+61;520;667;13.9.2020
Nordrhein-Westfalen;62.079;+259;1.666;1.828;13.9.2020
Rheinland-Pfalz;9.717;+68;344;246;13.9.2020
Saarland;3.243;+18;43;175;13.9.2020
Sachsen;6.365;+14;206;226;13.9.2020
Sachsen-Anhalt;2.337;+7;53;66;13.9.2020
Schleswig-Holstein;4.222;+4;95;161;13.9.2020
Thüringen;3.780;+15;90;188;13.9.2020
Gesamt;259.428;+948;8.242;9.349;13.9.2020
