Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;41.942;+169;1.597;1.866;31.8.2020
Bayern;57.219;+160;1.931;2.639;31.8.2020
Berlin;11.189;+6;450;226;31.8.2020
Brandenburg;3.870;+1;57;169;31.8.2020
Bremen;1.993;+1;89;56;31.8.2020
Hamburg;6.250;+23;150;266;31.8.2020
Hessen;15.431;+32;733;531;31.8.2020
Mecklenburg-Vorpommern;1.008;+1;13;20;31.8.2020
Niedersachsen;16.741;+51;550;661;31.8.2020
Nordrhein-Westfalen;58.687;+103;1.594;1.811;31.8.2020
Rheinland-Pfalz;9.053;+45;366;243;31.8.2020
Saarland;3.154;+1;72;174;31.8.2020
Sachsen;5.953;+4;118;225;31.8.2020
Sachsen-Anhalt;2.234;+2;46;65;31.8.2020
Schleswig-Holstein;4.029;+7;117;160;31.8.2020
Thüringen;3.628;+4;69;186;31.8.2020
Gesamt;242.381;+610;7.952;9.298;31.8.2020
