Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.990;+48;185;1.837;10.7.2020
Bayern;49.086;+63;453;2.610;10.7.2020
Berlin;8.586;+49;205;216;10.7.2020
Brandenburg;3.452;-31;22;168;10.7.2020
Bremen;1.688;+4;13;54;10.7.2020
Hamburg;5.231;+1;15;261;10.7.2020
Hessen;11.104;+42;202;514;10.7.2020
Mecklenburg-Vorpommern;803;-2;0;20;10.7.2020
Niedersachsen;13.791;+37;121;641;10.7.2020
Nordrhein-Westfalen;44.645;+153;888;1.701;10.7.2020
Rheinland-Pfalz;7.126;+14;55;236;10.7.2020
Saarland;2.812;+3;7;174;10.7.2020
Sachsen;5.469;+3;12;225;10.7.2020
Sachsen-Anhalt;1.905;+7;25;61;10.7.2020
Schleswig-Holstein;3.202;+2;24;154;10.7.2020
Thüringen;3.288;+2;21;182;10.7.2020
Gesamt;198.178;+395;2.248;9.054;10.7.2020
