Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.917;+98;367;1.841;28.7.2020
Bayern;50.589;+88;656;2.619;28.7.2020
Berlin;9.020;+19;203;223;28.7.2020
Brandenburg;3.527;+3;31;168;28.7.2020
Bremen;1.752;+5;31;55;28.7.2020
Hamburg;5.326;+4;79;261;28.7.2020
Hessen;11.743;+58;299;518;28.7.2020
Mecklenburg-Vorpommern;845;+2;36;20;28.7.2020
Niedersachsen;14.288;+47;220;648;28.7.2020
Nordrhein-Westfalen;47.740;+269;1.430;1.730;28.7.2020
Rheinland-Pfalz;7.442;+8;91;238;28.7.2020
Saarland;2.852;+1;21;174;28.7.2020
Sachsen;5.518;+6;19;225;28.7.2020
Sachsen-Anhalt;1.991;+2;33;64;28.7.2020
Schleswig-Holstein;3.341;+19;69;156;28.7.2020
Thüringen;3.351;+4;26;182;28.7.2020
Gesamt;206.242;+633;3.611;9.122;28.7.2020
