Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;127.103;+3.162;14.829;2.405;20.11.2020
Bayern;173.239;+4.881;22.100;3.348;20.11.2020
Berlin;53.315;+1.247;7.334;422;20.11.2020
Brandenburg;14.347;+400;1.924;270;20.11.2020
Bremen;8.867;+118;1.012;104;20.11.2020
Hamburg;21.735;+659;1.873;331;20.11.2020
Hessen;72.525;+2.325;10.708;980;20.11.2020
Mecklenburg-Vorpommern;4.932;+145;726;49;20.11.2020
Niedersachsen;59.968;+1.622;6.770;970;20.11.2020
Nordrhein-Westfalen;222.535;+5.726;29.879;2.887;20.11.2020
Rheinland-Pfalz;36.091;+1.026;5.358;402;20.11.2020
Saarland;11.006;+379;1.225;234;20.11.2020
Sachsen;39.801;+1.032;6.902;602;20.11.2020
Sachsen-Anhalt;9.266;+322;1.424;113;20.11.2020
Schleswig-Holstein;12.388;+264;1.394;231;20.11.2020
Thüringen;12.446;+340;2.127;282;20.11.2020
Gesamt;879.564;+23.648;115.585;13.630;20.11.2020
