Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.342;+78;266;1.838;18.7.2020
Bayern;49.702;+71;461;2.616;18.7.2020
Berlin;8.748;+23;115;221;18.7.2020
Brandenburg;3.476;+6;21;167;18.7.2020
Bremen;1.709;+8;20;55;18.7.2020
Hamburg;5.237;+5;10;261;18.7.2020
Hessen;11.371;+47;222;514;18.7.2020
Mecklenburg-Vorpommern;806;+1;2;20;18.7.2020
Niedersachsen;13.952;+47;127;644;18.7.2020
Nordrhein-Westfalen;45.910;+200;1.065;1.712;18.7.2020
Rheinland-Pfalz;7.293;+18;143;238;18.7.2020
Saarland;2.828;+1;12;174;18.7.2020
Sachsen;5.488;+3;14;225;18.7.2020
Sachsen-Anhalt;1.939;+3;24;62;18.7.2020
Schleswig-Holstein;3.251;+13;46;154;18.7.2020
Thüringen;3.320;+5;30;182;18.7.2020
Gesamt;201.372;+529;2.578;9.083;18.7.2020
