Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;90.734;+3.049;13.486;2.072;5.11.2020
Bayern;119.505;+3.636;19.118;2.851;5.11.2020
Berlin;35.971;+1.148;5.959;272;5.11.2020
Brandenburg;9.062;+301;1.412;204;5.11.2020
Bremen;6.365;+257;1.478;80;5.11.2020
Hamburg;15.132;+388;1.844;296;5.11.2020
Hessen;47.477;+1.658;9.553;710;5.11.2020
Mecklenburg-Vorpommern;3.271;+195;762;23;5.11.2020
Niedersachsen;41.209;+1.245;7.055;791;5.11.2020
Nordrhein-Westfalen;153.766;+5.067;30.208;2.267;5.11.2020
Rheinland-Pfalz;23.391;+925;4.585;307;5.11.2020
Saarland;7.564;+251;1.455;195;5.11.2020
Sachsen;21.119;+979;4.288;365;5.11.2020
Sachsen-Anhalt;5.897;+315;1.144;88;5.11.2020
Schleswig-Holstein;9.096;+263;1.575;192;5.11.2020
Thüringen;8.024;+313;1.520;217;5.11.2020
Gesamt;597.583;+19.990;105.442;10.930;5.11.2020
