Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.492;+150;328;1.838;21.7.2020
Bayern;49.872;+97;494;2.617;21.7.2020
Berlin;8.802;+23;125;221;21.7.2020
Brandenburg;3.485;+2;23;167;21.7.2020
Bremen;1.721;+1;30;55;21.7.2020
Hamburg;5.241;+1;14;261;21.7.2020
Hessen;11.430;+21;221;515;21.7.2020
Mecklenburg-Vorpommern;809;+3;5;20;21.7.2020
Niedersachsen;14.059;+29;208;646;21.7.2020
Nordrhein-Westfalen;46.213;+138;1.092;1.714;21.7.2020
Rheinland-Pfalz;7.338;+24;122;238;21.7.2020
Saarland;2.832;+2;11;174;21.7.2020
Sachsen;5.501;+13;23;225;21.7.2020
Sachsen-Anhalt;1.956;+6;37;62;21.7.2020
Schleswig-Holstein;3.271;+10;50;155;21.7.2020
Thüringen;3.323;2;26;182;21.7.2020
Gesamt;202.345;+522;2.809;9.090;21.7.2020
