Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.150;+60;148;1.808;16.6.2020
Bayern;47.690;+48;253;2.540;16.6.2020
Berlin;7.369;+47;318;208;16.6.2020
Brandenburg;3.334;+5;31;163;16.6.2020
Bremen;1.593;+1;60;48;16.6.2020
Hamburg;5.147;+3;25;255;16.6.2020
Hessen;10.371;+47;119;495;16.6.2020
Mecklenburg-Vorpommern;784;+2;10;20;16.6.2020
Niedersachsen;12.950;+41;323;614;16.6.2020
Nordrhein-Westfalen;39.415;+108;654;1.648;16.6.2020
Rheinland-Pfalz;6.846;+5;39;231;16.6.2020
Saarland;2.773;1;15;168;16.6.2020
Sachsen;5.349;+2;17;220;16.6.2020
Sachsen-Anhalt;1.771;+3;51;57;16.6.2020
Schleswig-Holstein;3.122;+1;8;151;16.6.2020
Thüringen;3.175;+4;71;174;16.6.2020
Gesamt;186.839;+378;2.142;8.800;16.6.2020
