Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;234.498;2.812;15.695;4.695;30.12.2020
Bayern;318.339;3.405;20.309;6.549;30.12.2020
Berlin;95.729;1.287;5.145;1.213;30.12.2020
Brandenburg;39.627;1.807;3.884;884;30.12.2020
Bremen;13.411;152;646;191;30.12.2020
Hamburg;35.947;463;1.917;614;30.12.2020
Hessen;133.475;1.271;7.949;2.711;30.12.2020
Mecklenburg-Vorpommern;11.623;455;1.324;161;30.12.2020
Niedersachsen;104.768;1.018;6.362;1.908;30.12.2020
Nordrhein-Westfalen;387.437;4.429;23.782;6.451;30.12.2020
Rheinland-Pfalz;70.749;725;4.713;1.378;30.12.2020
Saarland;19.539;198;1.112;421;30.12.2020
Sachsen;128.785;2.364;13.436;3.003;30.12.2020
Sachsen-Anhalt;28.316;562;3.440;560;30.12.2020
Schleswig-Holstein;24.284;500;2.395;411;30.12.2020
Thüringen;40.658;1.011;5.442;957;30.12.2020
Gesamt;1.687.185;22.459;117.551;32.107;30.12.2020
