Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.718;+239*;288;1.748;30.5.2020
Bayern;46.854;+45;635;2.450;30.5.2020
Berlin;6.767;+29;129;197;30.5.2020
Brandenburg;3.266;-5;32;155;30.5.2020
Bremen;1.398;+26;103;42;30.5.2020
Hamburg;5.082;+4;8;246;30.5.2020
Hessen;10.003;+41;289;476;30.5.2020
Mecklenburg-Vorpommern;760;+1;2;20;30.5.2020
Niedersachsen;11.958;+126;376;593;30.5.2020
Nordrhein-Westfalen;37.910;+107;713;1.595;30.5.2020
Rheinland-Pfalz;6.695;+22;103;230;30.5.2020
Saarland;2.723;+7;24;163;30.5.2020
Sachsen;5.297;+67;66;213;30.5.2020
Sachsen-Anhalt;1.701;+1;9;55;30.5.2020
Schleswig-Holstein;3.090;+12;23;145;30.5.2020
Thüringen;2.974;+16;126;161;30.5.2020
Gesamt;181.196;+738;2.926;8.489;30.5.2020
