Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;123.941;+3.071;14.666;2.369;19.11.2020
Bayern;168.358;+4.070;21.933;3.314;19.11.2020
Berlin;52.068;+1.457;7.647;401;19.11.2020
Brandenburg;13.947;+430;1.910;262;19.11.2020
Bremen;8.749;+302;1.153;103;19.11.2020
Hamburg;21.076;+246;1.692;318;19.11.2020
Hessen;70.200;+2.130;10.217;961;19.11.2020
Mecklenburg-Vorpommern;4.787;+167;747;47;19.11.2020
Niedersachsen;58.346;+1.422;6.842;951;19.11.2020
Nordrhein-Westfalen;216.809;+5.429;29.892;2.819;19.11.2020
Rheinland-Pfalz;35.065;+921;5.519;391;19.11.2020
Saarland;10.627;+103;1.131;231;19.11.2020
Sachsen;38.769;+1.878;7.257;582;19.11.2020
Sachsen-Anhalt;8.944;+275;1.375;113;19.11.2020
Schleswig-Holstein;12.124;+207;1.360;229;19.11.2020
Thüringen;12.106;+501;2.191;279;19.11.2020
Gesamt;855.916;+22.609;115.532;13.370;19.11.2020
