Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;80.233;+2.756;11.830;2.022;31.10.2020
Bayern;104.764;+2.690;15.553;2.804;31.10.2020
Berlin;31.440;+1.084;5.513;255;31.10.2020
Brandenburg;7.831;+363;1.233;193;31.10.2020
Bremen;5.331;+231;1.197;72;31.10.2020
Hamburg;13.357;+410;1.717;283;31.10.2020
Hessen;40.998;+1905;9.493;646;31.10.2020
Mecklenburg-Vorpommern;2.782;+166;690;23;31.10.2020
Niedersachsen;35.942;+1.714;6.098;748;31.10.2020
Nordrhein-Westfalen;132.479;+5.032;26.306;2.155;31.10.2020
Rheinland-Pfalz;20.103;+995;3.955;285;31.10.2020
Saarland;6.249;+107;1.041;188;31.10.2020
Sachsen;17.196;+703;3.766;317;31.10.2020
Sachsen-Anhalt;5.067;+263;1.107;79;31.10.2020
Schleswig-Holstein;8.028;+312;1.456;175;31.10.2020
Thüringen;6.953;+328;1.295;207;31.10.2020
Gesamt;518.753;+19.059;92.250;10.452;31.10.2020
