Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;136.892;3.203;14.612;2.530;25.11.2020
Bayern;188.809;3.006;22.767;3.553;25.11.2020
Berlin;58.924;1.615;7.167;492;25.11.2020
Brandenburg;16.316;449;2.222;293;25.11.2020
Bremen;9.449;142;989;113;25.11.2020
Hamburg;23.331;392;1.827;347;25.11.2020
Hessen;79.260;1.363;10.167;1.111;25.11.2020
Mecklenburg-Vorpommern;5.388;141;754;55;25.11.2020
Niedersachsen;65.708;1.204;7.334;1.052;25.11.2020
Nordrhein-Westfalen;240.962;4.156;28.319;3.126;25.11.2020
Rheinland-Pfalz;39.969;694;5.503;452;25.11.2020
Saarland;11.686;125;1.042;248;25.11.2020
Sachsen;46.282;1.355;7.610;710;25.11.2020
Sachsen-Anhalt;10.416;85;1.556;129;25.11.2020
Schleswig-Holstein;13.307;251;1.365;241;25.11.2020
Thüringen;14.621;452;2.863;319;25.11.2020
Gesamt;961.320;18.633;116.097;14.771;25.11.2020
