Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.870;+40;131;1.778;5.6.2020
Bayern;47.268;+59;369;2.481;5.6.2020
Berlin;6.946;+45;187;200;5.6.2020
Brandenburg;3.288;+8;22;156;5.6.2020
Bremen;1.498;+36;123;44;5.6.2020
Hamburg;5.107;+11;25;253;5.6.2020
Hessen;10.163;+34;172;482;5.6.2020
Mecklenburg-Vorpommern;764;+1;4;20;5.6.2020
Niedersachsen;12.277;+95;354;604;5.6.2020
Nordrhein-Westfalen;38.439;+142;576;1.617;5.6.2020
Rheinland-Pfalz;6.732;+13;57;230;5.6.2020
Saarland;2.738;+1;19;166;5.6.2020
Sachsen;5.315;+3;21;212;5.6.2020
Sachsen-Anhalt;1.712;+1;8;55;5.6.2020
Schleswig-Holstein;3.103;0;27;146;5.6.2020
Thüringen;3.051;+18;63;169;5.6.2020
Gesamt;183.271;+507;2.158;8.613;5.6.2020
