Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;290.457;1.639;8.411;6.956;29.1.2021
Bayern;398.573;1.973;12.311;10.229;29.1.2021
Berlin;118.955;522;3.105;2.198;29.1.2021
Brandenburg;67.144;774;3.535;2.193;29.1.2021
Bremen;15.747;108;504;265;29.1.2021
Hamburg;45.576;41;1.306;1.037;29.1.2021
Hessen;169.960;1.089;5.936;4.733;29.1.2021
Mecklenburg-Vorpommern;19.435;238;1.587;423;29.1.2021
Niedersachsen;139.925;896;5.741;3.189;29.1.2021
Nordrhein-Westfalen;481.042;2.779;16.160;10.597;29.1.2021
Rheinland-Pfalz;91.711;612;3.530;2.450;29.1.2021
Saarland;25.232;291;1.091;720;29.1.2021
Sachsen;178.330;1.209;5.349;6.153;29.1.2021
Sachsen-Anhalt;50.945;745;3.645;1.653;29.1.2021
Schleswig-Holstein;35.426;389;2.606;834;29.1.2021
Thüringen;64.392;717;3.664;2.122;29.1.2021
Gesamt;2.192.850;14.022;78.481;55.752;29.1.2021
