Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;107.649;+2.942;14.927;2.189;12.11.2020
Bayern;144.705;+4.791;23.485;3.050;12.11.2020
Berlin;43.146;+1.132;6.342;321;12.11.2020
Brandenburg;11.483;+452;1.685;229;12.11.2020
Bremen;7.565;+198;1.213;89;12.11.2020
Hamburg;18.255;+395;1.955;308;12.11.2020
Hessen;59.371;+1.905;11.029;821;12.11.2020
Mecklenburg-Vorpommern;3.910;0;580;34;12.11.2020
Niedersachsen;50.167;+1.767;7.434;868;12.11.2020
Nordrhein-Westfalen;185.138;+4.615;29.575;2.517;12.11.2020
Rheinland-Pfalz;28.958;+924;5.220;342;12.11.2020
Saarland;9.276;+264;1.520;207;12.11.2020
Sachsen;30.100;+1.593;6.022;458;12.11.2020
Sachsen-Anhalt;7.367;+266;1.306;102;12.11.2020
Schleswig-Holstein;10.715;+249;1.595;213;12.11.2020
Thüringen;9.748;+373;1.631;234;12.11.2020
Gesamt;727.553;+21.866;115.519;11.982;12.11.2020
