Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;231.686;1.657;16.319;4.587;29.12.2020
Bayern;314.934;1.962;21.201;6.398;29.12.2020
Berlin;94.442;646;5.325;1.172;29.12.2020
Brandenburg;37.820;683;3.414;814;29.12.2020
Bremen;13.259;54;616;186;29.12.2020
Hamburg;35.484;153;2.091;598;29.12.2020
Hessen;132.204;400;8.744;2.582;29.12.2020
Mecklenburg-Vorpommern;11.168;113;1.242;152;29.12.2020
Niedersachsen;103.750;506;6.972;1.851;29.12.2020
Nordrhein-Westfalen;383.008;2.521;24.912;6.227;29.12.2020
Rheinland-Pfalz;70.024;827;5.023;1.328;29.12.2020
Saarland;19.341;19;1.296;412;29.12.2020
Sachsen;126.421;2.232;14.849;2.838;29.12.2020
Sachsen-Anhalt;27.754;316;3.779;532;29.12.2020
Schleswig-Holstein;23.784;260;2.473;394;29.12.2020
Thüringen;39.647;543;5.839;907;29.12.2020
Gesamt;1.664.726;12.892;124.095;30.978;29.12.2020
