Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;286.954;1.339;9.083;6.803;27.1.2021
Bayern;393.731;1.868;12.692;9.943;27.1.2021
Berlin;117.602;488;3.313;2.111;27.1.2021
Brandenburg;65.150;885;3.800;2.106;27.1.2021
Bremen;15.549;82;529;257;27.1.2021
Hamburg;45.070;151;1.393;1.003;27.1.2021
Hessen;167.595;1.143;6.604;4.577;27.1.2021
Mecklenburg-Vorpommern;18.948;379;1.665;399;27.1.2021
Niedersachsen;137.549;754;6.020;3.090;27.1.2021
Nordrhein-Westfalen;475.013;2.531;17.437;10.301;27.1.2021
Rheinland-Pfalz;90.431;601;3.992;2.380;27.1.2021
Saarland;24.671;275;1.075;704;27.1.2021
Sachsen;176.039;868;5.742;5.920;27.1.2021
Sachsen-Anhalt;49.400;605;3.988;1.556;27.1.2021
Schleswig-Holstein;34.530;558;2.685;794;27.1.2021
Thüringen;63.043;671;3.935;2.028;27.1.2021
Gesamt;2.161.275;13.198;83.953;53.972;27.1.2021
