Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.807;+36;190;1.837;4.7.2020
Bayern;48.655;+68;373;2.600;4.7.2020
Berlin;8.393;+48;224;214;4.7.2020
Brandenburg;3.459;+9;29;167;4.7.2020
Bremen;1.675;0;16;53;4.7.2020
Hamburg;5.217;+5;24;260;4.7.2020
Hessen;10.918;+24;166;511;4.7.2020
Mecklenburg-Vorpommern;804;1;5;20;4.7.2020
Niedersachsen;13.647;+15;150;635;4.7.2020
Nordrhein-Westfalen;43.853;+193;1.138;1.688;4.7.2020
Rheinland-Pfalz;7.080;+12;103;235;4.7.2020
Saarland;2.805;0;4;174;4.7.2020
Sachsen;5.458;+5;16;224;4.7.2020
Sachsen-Anhalt;1.880;+2;12;59;4.7.2020
Schleswig-Holstein;3.178;+2;30;152;4.7.2020
Thüringen;3.267;+2;18;181;4.7.2020
Gesamt;196.096;+422;2.498;9.010;4.7.2020
