Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;50.763;+523;1.732;1.888;4.10.2020
Bayern;69.486;+300;2.108;2.671;4.10.2020
Berlin;15.574;+203;1.374;231;4.10.2020
Brandenburg;4.393;+24;158;169;4.10.2020
Bremen;2.598;+41;234;59;4.10.2020
Hamburg;8.176;+112;428;272;4.10.2020
Hessen;19.788;+172;1.160;552;4.10.2020
Mecklenburg-Vorpommern;1.220;+0*;59;20*;4.10.2020
Niedersachsen;20.954;+177;953;690;4.10.2020
Nordrhein-Westfalen;72.581;+518;3.905;1.884;4.10.2020
Rheinland-Pfalz;11.015;+40;458;256;4.10.2020
Saarland;3.380;+0*;83;177*;4.10.2020
Sachsen;7.459;+68;300;239;4.10.2020
Sachsen-Anhalt;2.736;+43;131;68;4.10.2020
Schleswig-Holstein;4.914;+16;226;162;4.10.2020
Thüringen;4.200;+42;143;191;4.10.2020
Gesamt;299.237;+2.279;13.452;9.529;4.10.2020
