Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;133.689;106*;14.080;2.452;24.11.2020
Bayern;185.803;2.614;23.366;3.490;24.11.2020
Berlin;57.309;805;7.257;456;24.11.2020
Brandenburg;15.867;194;2.264;287;24.11.2020
Bremen;9.307;23;978;112;24.11.2020
Hamburg;22.939;237;1.831;339;24.11.2020
Hessen;77.897;1.556;10.778;1.071;24.11.2020
Mecklenburg-Vorpommern;5.247;58;781;54;24.11.2020
Niedersachsen;64.504;1.199;7.497;1.022;24.11.2020
Nordrhein-Westfalen;236.806;3.786;28.520;3.047;24.11.2020
Rheinland-Pfalz;39.275;966;5.560;434;24.11.2020
Saarland;11.561;176;1.136;239;24.11.2020
Sachsen;44.927;960;7.880;682;24.11.2020
Sachsen-Anhalt;10.331;301;1.796;129;24.11.2020
Schleswig-Holstein;13.056;144;1.370;237;24.11.2020
Thüringen;14.169;429;2.844;310;24.11.2020
Gesamt;942.687;13.554;117.938;14.361;24.11.2020
