Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;300.232;1.110;6.753;7.422;7.2.2021
Bayern;413.008;1.387;10.001;11.126;7.2.2021
Berlin;122.456;227;2.531;2.467;7.2.2021
Brandenburg;70.930;274;2.253;2.629;7.2.2021
Bremen;16.494;58;532;286;7.2.2021
Hamburg;47.582;170;1.173;1.143;7.2.2021
Hessen;176.931;793;5.074;5.165;7.2.2021
Mecklenburg-Vorpommern;21.207;155;1.364;544;7.2.2021
Niedersachsen;148.108;913;5.304;3.581;7.2.2021
Nordrhein-Westfalen;499.455;1.788;13.165;11.540;7.2.2021
Rheinland-Pfalz;95.437;187;2.463;2.727;7.2.2021
Saarland;26.889;180;1.140;783;7.2.2021
Sachsen;184.334;522;3.890;6.763;7.2.2021
Sachsen-Anhalt;54.592;335;2.496;1.970;7.2.2021
Schleswig-Holstein;37.893;282;1.871;1.012;7.2.2021
Thüringen;68.462;235;2.885;2.359;7.2.2021
Gesamt;2.284.010;8.616;62.895;61.517;7.2.2021
