Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;54.939;+594;3.504;1.903;13.10.2020
Bayern;73.788;+602;3.596;2.689;13.10.2020
Berlin;18.327;+252;2.219;234;13.10.2020
Brandenburg;4.794;+23;294;169;13.10.2020
Bremen;3.113;+33;482;61;13.10.2020
Hamburg;9.040;+77;513;277;13.10.2020
Hessen;22.310;+271;2.142;562;13.10.2020
Mecklenburg-Vorpommern;1.416;+43;116;20;13.10.2020
Niedersachsen;23.265;+603;1.776;696;13.10.2020
Nordrhein-Westfalen;81.192;+1211;7.118;1.917;13.10.2020
Rheinland-Pfalz;12.235;+129;937;257;13.10.2020
Saarland;3.720;+17;262;177;13.10.2020
Sachsen;8.559;+146;857;248;13.10.2020
Sachsen-Anhalt;2.942;+10;168;68;13.10.2020
Schleswig-Holstein;5.325;+65;342;162;13.10.2020
Thüringen;4.488;+46;257;194;13.10.2020
Gesamt;329.453;+4.122;24.583;9.634;13.10.2020
