Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;303.333;1.223;6.237;7.592;11.2.2021
Bayern;416.786;1.510;8.342;11.470;11.2.2021
Berlin;123.649;457;2.063;2.551;11.2.2021
Brandenburg;72.195;536;1.992;2.749;11.2.2021
Bremen;16.717;99;453;305;11.2.2021
Hamburg;48.265;220;1.073;1.167;11.2.2021
Hessen;178.780;792;4.137;5.362;11.2.2021
Mecklenburg-Vorpommern;21.761;205;1.140;603;11.2.2021
Niedersachsen;150.430;1.083;4.710;3.716;11.2.2021
Nordrhein-Westfalen;504.650;1.884;11.252;11.895;11.2.2021
Rheinland-Pfalz;96.761;390;2.262;2.826;11.2.2021
Saarland;27.182;98;834;803;11.2.2021
Sachsen;186.000;796;3.034;6.999;11.2.2021
Sachsen-Anhalt;55.449;287;1.848;2.050;11.2.2021
Schleswig-Holstein;38.778;334;1.750;1.083;11.2.2021
Thüringen;69.497;323;2.253;2.464;11.2.2021
Gesamt;2.310.233;10.237;53.380;63.635;11.2.2021
