Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.862;+55;185;1.837;7.7.2020
Bayern;48.852;+108;429;2.606;7.7.2020
Berlin;8.462;+11;221;215;7.7.2020
Brandenburg;3.468;+4;29;168;7.7.2020
Bremen;1.679;0;17;54;7.7.2020
Hamburg;5.223;+3;19;261;7.7.2020
Hessen;10.985;+30;193;512;7.7.2020
Mecklenburg-Vorpommern;805;+1;2;20;7.7.2020
Niedersachsen;13.731;+59;153;637;7.7.2020
Nordrhein-Westfalen;44.158;+94;959;1.689;7.7.2020
Rheinland-Pfalz;7.094;+12;85;235;7.7.2020
Saarland;2.806;0;3;174;7.7.2020
Sachsen;5.459;+1;11;224;7.7.2020
Sachsen-Anhalt;1.894;+5;22;59;7.7.2020
Schleswig-Holstein;3.189;+2;34;152;7.7.2020
Thüringen;3.277;+5;26;181;7.7.2020
Gesamt;196.944;+390;2.388;9.024;7.7.2020
