Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;182.958;3.798;19.418;3.353;12.12.2020
Bayern;253.069;4.390;25.296;4.812;12.12.2020
Berlin;77.208;1.004;6.243;790;12.12.2020
Brandenburg;25.818;908;3.147;477;12.12.2020
Bremen;11.488;122;870;150;12.12.2020
Hamburg;28.620;418;2.003;462;12.12.2020
Hessen;105.934;3.117;10.870;1.716;12.12.2020
Mecklenburg-Vorpommern;7.870;273;1.257;96;12.12.2020
Niedersachsen;83.935;1.614;6.879;1.403;12.12.2020
Nordrhein-Westfalen;310.932;5.468;28.524;4.422;12.12.2020
Rheinland-Pfalz;54.969;1.502;6.272;837;12.12.2020
Saarland;15.460;282;1.684;296;12.12.2020
Sachsen;82.226;3.522;13.930;1.591;12.12.2020
Sachsen-Anhalt;17.703;616;2.967;263;12.12.2020
Schleswig-Holstein;17.515;411;2.110;290;12.12.2020
Thüringen;24.811;993;4.474;508;12.12.2020
Gesamt;1.300.516;28.438;135.944;21.466;12.12.2020
