Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;38.480;+58;598;1.859;16.8.2020
Bayern;52.888;+41;980;2.631;16.8.2020
Berlin;10.238;+42;522;224;16.8.2020
Brandenburg;3.697;+2;51;169;16.8.2020
Bremen;1.841;+6;38;56;16.8.2020
Hamburg;5.878;+28;166;264;16.8.2020
Hessen;13.433;+43;699;526;16.8.2020
Mecklenburg-Vorpommern;972;+2;31;20;16.8.2020
Niedersachsen;15.384;+41;384;656;16.8.2020
Nordrhein-Westfalen;54.390;+284;2.612;1.777;16.8.2020
Rheinland-Pfalz;8.121;+26;292;242;16.8.2020
Saarland;3.000;+14;69;174;16.8.2020
Sachsen;5.730;+11;76;225;16.8.2020
Sachsen-Anhalt;2.123;+9;58;64;16.8.2020
Schleswig-Holstein;3.782;+14;192;158;16.8.2020
Thüringen;3.496;+4;69;186;16.8.2020
Gesamt;223.453;+625;6.837;9.231;16.8.2020
