Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;38.512;+32;606;1.859;17.8.2020
Bayern;52.984;+96;1048;2.631;17.8.2020
Berlin;10.253;+15;531;224;17.8.2020
Brandenburg;3.703;+6;56;169;17.8.2020
Bremen;1.845;+4;41;56;17.8.2020
Hamburg;5.887;+9;160;264;17.8.2020
Hessen;13.486;+53;734;526;17.8.2020
Mecklenburg-Vorpommern;973;+1;32;20;17.8.2020
Niedersachsen;15.428;+44;412;656;17.8.2020
Nordrhein-Westfalen;54.653;+263;2.694;1.778;17.8.2020
Rheinland-Pfalz;8.148;+27;306;242;17.8.2020
Saarland;3.000;+0*;68;174;17.8.2020
Sachsen;5.731;+1;75;225;17.8.2020
Sachsen-Anhalt;2.123;+0;56;64;17.8.2020
Schleswig-Holstein;3.790;+8;192;158;17.8.2020
Thüringen;3.498;+2;70;186;17.8.2020
Gesamt;224.014;+561;6.837;9.232;17.8.2020
