Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.177;+27;145;1.811;17.6.2020
Bayern;47.710;+20;235;2.546;17.6.2020
Berlin;7.402;+33;296;209;17.6.2020
Brandenburg;3.362;+28;43;163;17.6.2020
Bremen;1.607;+14;59;49;17.6.2020
Hamburg;5.149;+2;26;257;17.6.2020
Hessen;10.386;+15;118;496;17.6.2020
Mecklenburg-Vorpommern;786;+2;9;20;17.6.2020
Niedersachsen;12.968;+18;263;615;17.6.2020
Nordrhein-Westfalen;39.573;+158;692;1.655;17.6.2020
Rheinland-Pfalz;6.856;+10;33;233;17.6.2020
Saarland;2.773;0;8;168;17.6.2020
Sachsen;5.350;+1;11;221;17.6.2020
Sachsen-Anhalt;1.775;+4;47;57;17.6.2020
Schleswig-Holstein;3.122;0;9;152;17.6.2020
Thüringen;3.188;+13;71;178;17.6.2020
Gesamt;187.184;+345;2.065;8.830;17.6.2020
