Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.224;+109;430;1.847;31.7.2020
Bayern;50.915;+109;714;2.622;31.7.2020
Berlin;9.192;+42;268;223;31.7.2020
Brandenburg;3.560;+9;23;168;31.7.2020
Bremen;1.774;+11;41;56;31.7.2020
Hamburg;5.386;+30;93;261;31.7.2020
Hessen;11.965;+70;367;520;31.7.2020
Mecklenburg-Vorpommern;864;+3;38;20;31.7.2020
Niedersachsen;14.430;+50;217;651;31.7.2020
Nordrhein-Westfalen;48.689;+388;1.626;1.733;31.7.2020
Rheinland-Pfalz;7.498;+10;96;239;31.7.2020
Saarland;2.862;0;20;174;31.7.2020
Sachsen;5.536;+4;25;225;31.7.2020
Sachsen-Anhalt;2.015;+6;36;64;31.7.2020
Schleswig-Holstein;3.427;+26;125;156;31.7.2020
Thüringen;3.361;+3;22;182;31.7.2020
Gesamt;208.698;+870;4.141;9.141;31.7.2020
