Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.409;+44;175;1.826;24.6.2020
Bayern;47.995;+101;251;2.578;24.6.2020
Berlin;7.975;+59;506;211;24.6.2020
Brandenburg;3.413;+6;48;164;24.6.2020
Bremen;1.653;-1;46;49;24.6.2020
Hamburg;5.175;+5;28;259;24.6.2020
Hessen;10.645;+32;235;503;24.6.2020
Mecklenburg-Vorpommern;794;+2;7;20;24.6.2020
Niedersachsen;13.327;+15;293;622;24.6.2020
Nordrhein-Westfalen;41.678;+260;2.018;1.668;24.6.2020
Rheinland-Pfalz;6.924;+5;57;235;24.6.2020
Saarland;2.801;+23;7;169;24.6.2020
Sachsen;5.436;+28;77;222;24.6.2020
Sachsen-Anhalt;1.856;+5;68;58;24.6.2020
Schleswig-Holstein;3.137;+1;15;152;24.6.2020
Thüringen;3.231;+2;31;178;24.6.2020
Gesamt;191.449;+587;3.862;8.914;24.6.2020
